id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/189354,airlines,PseudoLabel,12h8c,6,binary,0.728219,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:46:48,1881.0,1862.6,6.5,14.0,1110689540,,,8.0,,,0.673866,0.728219,0.659299,0.601117
openml.org/t/189354,airlines,PseudoLabel,12h8c,7,binary,0.729188,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:43:48,1706.2,1685.1,9.3,14.0,1110689541,,,8.0,,,0.676276,0.729188,0.661705,0.599503
openml.org/t/189354,airlines,PseudoLabel,12h8c,8,binary,0.727939,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:38:30,1379.6,1353.5,14.2,14.0,1110689542,,,9.0,,,0.673254,0.727939,0.658219,0.601362
openml.org/t/189354,airlines,PseudoLabel,12h8c,9,binary,0.731878,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:47:36,1918.0,1894.9,11.2,14.0,1110689543,,,8.0,,,0.677,0.731878,0.662965,0.598494
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,0,regression,-28.3215,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T03:45:03,17214.5,16923.9,95.5,10.0,1110689534,,13.6719,6.0,0.0555995,28.3215,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,1,regression,-28.6878,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T03:53:02,17685.8,17413.6,76.4,10.0,1110689535,,13.7271,6.0,0.0577573,28.6878,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,2,regression,-28.2032,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T05:08:33,22210.0,21874.3,138.8,10.0,1110689536,,13.5604,8.0,0.054512,28.2032,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,3,regression,-28.9905,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T03:56:24,17859.4,17505.0,159.0,10.0,1110689537,,13.5537,8.0,0.0562886,28.9905,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,4,regression,-28.8945,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T06:10:50,25933.5,25562.5,172.6,10.0,1110689538,,13.6104,7.0,0.0549579,28.8945,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,5,regression,-28.618,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T04:55:55,21447.2,21065.0,184.5,10.0,1110689539,,13.6073,8.0,0.0577377,28.618,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,6,regression,-28.6335,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T05:31:29,23570.4,23286.6,85.8,10.0,1110689540,,13.6802,5.0,0.0564552,28.6335,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,7,regression,-28.6169,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T06:08:51,25804.4,25455.3,148.0,10.0,1110689541,,13.6437,6.0,0.055532,28.6169,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,8,regression,-28.5615,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T04:06:13,18433.1,18110.9,122.3,10.0,1110689542,,13.6667,7.0,0.0607336,28.5615,,,,
openml.org/t/359929,Airlines_DepDelay_10M,PseudoLabel,12h8c,9,regression,-28.5688,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T05:59:47,25250.4,24920.0,134.2,10.0,1110689543,,13.6634,6.0,0.052567,28.5688,,,,
openml.org/t/189356,albert,PseudoLabel,12h8c,0,binary,0.781023,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:57:05,6046.2,5945.6,4.5,14.0,1110689534,,,6.0,,,0.707577,0.781023,0.707577,0.562274
openml.org/t/189356,albert,PseudoLabel,12h8c,1,binary,0.780775,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:59:49,6210.2,6106.6,5.4,14.0,1110689535,,,7.0,,,0.708259,0.780775,0.708259,0.563744
openml.org/t/189356,albert,PseudoLabel,12h8c,2,binary,0.782502,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:55:26,5947.9,5843.1,8.5,14.0,1110689536,,,7.0,,,0.709341,0.782502,0.709341,0.561514
openml.org/t/189356,albert,PseudoLabel,12h8c,3,binary,0.778541,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:57:56,6098.1,5962.3,38.5,14.0,1110689537,,,7.0,,,0.706589,0.778541,0.706589,0.56537
openml.org/t/189356,albert,PseudoLabel,12h8c,4,binary,0.782069,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:58:26,6123.6,6019.0,7.3,14.0,1110689538,,,7.0,,,0.707671,0.782069,0.707671,0.563117
openml.org/t/189356,albert,PseudoLabel,12h8c,5,binary,0.780744,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T01:00:54,6270.1,6156.6,15.0,14.0,1110689539,,,8.0,,,0.709082,0.780744,0.709082,0.564296
openml.org/t/189356,albert,PseudoLabel,12h8c,6,binary,0.780318,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:59:02,6155.9,6054.2,6.6,14.0,1110689540,,,6.0,,,0.708917,0.780318,0.708917,0.56373
openml.org/t/189356,albert,PseudoLabel,12h8c,7,binary,0.787627,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T01:02:48,6358.5,6253.6,3.1,14.0,1110689541,,,5.0,,,0.714608,0.787627,0.714608,0.557017
openml.org/t/189356,albert,PseudoLabel,12h8c,8,binary,0.779524,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:59:42,6184.5,6082.5,4.6,14.0,1110689542,,,5.0,,,0.705108,0.779524,0.705108,0.563608
openml.org/t/189356,albert,PseudoLabel,12h8c,9,binary,0.779724,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:59:25,6160.1,6056.9,8.9,14.0,1110689543,,,7.0,,,0.706754,0.779724,0.706754,0.565856
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,0,regression,-26320.5,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:27:38,2287.0,2239.8,16.9,12.0,1110689534,,1369.34,8.0,-81.5338,26320.5,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,1,regression,-1994.0,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:25:27,2152.4,2104.5,16.6,12.0,1110689535,,1161.47,7.0,0.543256,1994.0,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,2,regression,-1825.9,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:25:08,2127.8,2083.5,13.6,12.0,1110689536,,1161.92,6.0,0.585775,1825.9,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,3,regression,-2404.63,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:25:43,2154.6,2108.9,14.7,12.0,1110689537,,1168.8,7.0,0.316049,2404.63,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,4,regression,-1839.2,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:32:24,2548.5,2500.8,17.7,12.0,1110689538,,1151.99,6.0,0.585978,1839.2,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,5,regression,-1842.79,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:27:07,2221.6,2171.6,18.8,12.0,1110689539,,1164.49,6.0,0.595444,1842.79,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,6,regression,-1995.34,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:21:40,1894.0,1846.5,16.8,12.0,1110689540,,1190.19,6.0,0.570741,1995.34,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,7,regression,-1860.93,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:24:36,2067.8,2020.7,16.9,12.0,1110689541,,1175.43,7.0,0.581901,1860.93,,,,
openml.org/t/233212,Allstate_Claims_Severity,PseudoLabel,12h8c,8,regression,-1876.94,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:28:06,2273.6,2226.9,15.3,12.0,1110689542,,1152.52,6.0,0.570309,1876.94,,,,
