,model,openml_id,problem_type,accuracy,auc,neg_logloss,neg_MSE,MAE,result,model_score,best_val_score,threshold,metric,max_num_ter
16,Vanilla,1111,binary,0.9844,0.5,,,,0.5,,0.8298570346131109,,roc_auc,0
17,Ensemble_Pseudo,1111,binary,0.9844,0.5,,,,0.5,,0.823953571636733,,roc_auc,0
18,Vanilla,41164,multiclass,0.7269417475728155,,-0.748467140563185,,,-0.748467140563185,,-0.7641148204474073,,nll,0
19,Ensemble_Pseudo,41164,multiclass,0.7390776699029126,,-0.7352468077092232,,,-0.7352468077092232,,-0.7634499946775043,,nll,0
20,Vanilla,1169,binary,0.6763070077864294,0.6651758561870922,,,,0.6651758561870922,,0.7373017129459403,,roc_auc,0
21,Ensemble_Pseudo,1169,binary,0.6744530960326288,0.6635732141350119,,,,0.6635732141350119,,0.7369483483360796,,roc_auc,0
22,Vanilla,1486,binary,0.978,0.9693474556944388,,,,0.9693474556944388,,0.9960467173312634,,roc_auc,0
23,Ensemble_Pseudo,1486,binary,0.9784,0.970449208458161,,,,0.970449208458161,,0.9960639840016451,,roc_auc,0
24,Vanilla,41143,binary,0.8,0.8,,,,0.8,,0.875875486381323,,roc_auc,0
25,Ensemble_Pseudo,41143,binary,0.798,0.7979999999999999,,,,0.7979999999999999,,0.8737354085603113,,roc_auc,0
26,Vanilla,1461,binary,0.9064,0.7027256041798566,,,,0.7027256041798566,,0.9374608308462291,,roc_auc,0
27,Ensemble_Pseudo,1461,binary,0.91,0.7155878083251797,,,,0.7155878083251797,,0.938208788206816,,roc_auc,0
28,Vanilla,41167,multiclass,0.940893801057184,,-14.951672119479719,,,-14.951672119479719,,-0.22846753004832862,,nll,0
29,Ensemble_Pseudo,41167,multiclass,0.938731379144642,,-15.076439825698234,,,-15.076439825698234,,-0.22113827307031933,,nll,0
30,Vanilla,40668,multiclass,0.8792,,-0.3033421704471894,,,-0.3033421704471894,,-0.2813524168497178,,nll,0
31,Ensemble_Pseudo,40668,multiclass,0.8772,,-0.3009181605294389,,,-0.3009181605294389,,-0.27626140873138255,,nll,0
32,Vanilla,23512,binary,0.742,0.7414690592972721,,,,0.7414690592972721,,0.8183829787234043,,roc_auc,0
33,Ensemble_Pseudo,23512,binary,0.7436,0.7433424277907132,,,,0.7433424277907132,,0.8176269771176236,,roc_auc,0
34,Vanilla,41146,binary,0.94921875,0.94921875,,,,0.94921875,,0.9922228800947337,,roc_auc,0
35,Ensemble_Pseudo,41146,binary,0.939453125,0.939453125,,,,0.939453125,,0.9930870045286522,,roc_auc,0
36,Vanilla,41169,multiclass,0.3992,,-6.392150947290659,,,-6.392150947290659,,-2.4272670021286236,,nll,0
37,Ensemble_Pseudo,41169,multiclass,0.3964,,-6.353234944100678,,,-6.353234944100678,,-2.4302014459311962,,nll,0
38,Vanilla,41027,multiclass,0.946,,-0.08979251578043305,,,-0.08979251578043305,,-0.07461106894295585,,nll,0
39,Ensemble_Pseudo,41027,multiclass,0.9696,,-0.05978286171254559,,,-0.05978286171254559,,-0.05276410532700575,,nll,0
40,Vanilla,23517,binary,0.514,0.5109452283863761,,,,0.5109452283863761,,0.5431454215946032,,roc_auc,0
41,Ensemble_Pseudo,23517,binary,0.5132,0.5102080746196869,,,,0.5102080746196869,,0.543225554987855,,roc_auc,0
42,Vanilla,40685,multiclass,1.0,,-13.101327846336364,,,-13.101327846336364,,-0.00016747416364996752,,nll,0
43,Ensemble_Pseudo,40685,multiclass,1.0,,-13.162691651916504,,,-13.162691651916504,,-0.00015633238251721196,,nll,0
44,Vanilla,41165,multiclass,0.531,,-1.297746167979203,,,-1.297746167979203,,-1.3103024926574693,,nll,0
45,Ensemble_Pseudo,41165,multiclass,0.533,,-1.297902029777877,,,-1.297902029777877,,-1.2904076039656582,,nll,0
46,Vanilla,41161,binary,0.998,0.9986486486486487,,,,0.9986486486486487,,0.9999687242798354,,roc_auc,0
47,Ensemble_Pseudo,41161,binary,0.998,0.9986486486486487,,,,0.9986486486486487,,0.9999687242798354,,roc_auc,0
48,Vanilla,41159,binary,0.8525,0.8312779891796743,,,,0.8312779891796743,,0.9221498139525426,,roc_auc,0
49,Ensemble_Pseudo,41159,binary,0.849,0.8256426186223499,,,,0.8256426186223499,,0.9234066509424371,,roc_auc,0
50,Vanilla,4135,binary,0.9552,0.660999552105106,,,,0.660999552105106,,0.8844289244589081,,roc_auc,0
51,Ensemble_Pseudo,4135,binary,0.9528,0.6493356225739026,,,,0.6493356225739026,,0.8833868102468471,,roc_auc,0
52,Vanilla,40996,multiclass,0.9236,,-0.21273051437983914,,,-0.21273051437983914,,-0.2190761606970415,,nll,0
53,Ensemble_Pseudo,40996,multiclass,0.918,,-0.21449483666682828,,,-0.21449483666682828,,-0.2228957322073526,,nll,0
